,max_value,skewness,F_ext,condition,stim_net,net_name,5HT2a Density
0,1.1858051930577682,0.0791584580820674,0.0,resta,0,Vis,0.17607175790132637
1,1.5886523112382906,0.39332054375472053,0.0,resta,0,Vis,0.17607175790132637
2,2.414272341353623,0.7298666253416652,0.0,resta,0,Vis,0.17607175790132637
3,1.8097253867411838,0.8219647449906288,0.0,resta,0,Vis,0.17607175790132637
4,1.928251941991256,0.9972058589289836,0.0,resta,0,Vis,0.17607175790132637
5,1.7118352106803902,0.7042721505457021,0.0,resta,0,Vis,0.17607175790132637
6,2.3938003055500787,1.2637900367965529,0.0,resta,0,Vis,0.17607175790132637
7,1.204258909039251,-0.1701864800737197,0.0,resta,0,Vis,0.17607175790132637
8,1.592652082113439,0.5728905424866891,0.0,resta,0,Vis,0.17607175790132637
9,1.9080042506987884,0.8819340143624508,0.0,resta,0,Vis,0.17607175790132637
10,1.0429101390941982,-0.15868985639960015,0.0,resta,0,Vis,0.17607175790132637
11,1.5044763392004714,0.4562591114343334,0.0,resta,0,Vis,0.17607175790132637
12,1.5417244490111313,0.46341439328584927,0.0,resta,0,Vis,0.17607175790132637
13,1.6930492230257461,0.26253581787629915,0.0,resta,0,Vis,0.17607175790132637
14,1.6053246854436352,0.19154462161001276,0.0,resta,0,Vis,0.17607175790132637
15,1.9594502632229776,0.677409155926437,0.0,resta,0,Vis,0.17607175790132637
16,1.5522927174988506,0.451264042060161,0.0,resta,0,Vis,0.17607175790132637
17,1.4155707291134247,0.35027445645438554,0.0,resta,0,Vis,0.17607175790132637
18,1.6782195860192488,0.7804448775215566,0.0,resta,0,Vis,0.17607175790132637
19,1.9851064278350194,0.5771991126916455,0.0,resta,0,Vis,0.17607175790132637
20,1.64047555107585,0.8367186202641409,0.0,resta,0,Vis,0.17607175790132637
21,1.4490175980566677,0.5947537822308451,0.0,resta,0,Vis,0.17607175790132637
22,2.100310352907878,0.6456087792341905,0.0,resta,0,Vis,0.17607175790132637
23,1.4577827685678546,0.5494598933261854,0.0,resta,0,Vis,0.17607175790132637
24,1.7340777255444917,0.5602669763038443,0.0,resta,0,Vis,0.17607175790132637
25,2.0778670930855374,0.9221234271336839,0.0,resta,0,Vis,0.17607175790132637
26,1.7583173478375982,0.5134667825487149,0.0,resta,0,Vis,0.17607175790132637
27,1.8414634784880686,0.7489560318367174,0.0,resta,0,Vis,0.17607175790132637
28,2.0059661072591606,1.4304426079418049,0.0,resta,0,Vis,0.17607175790132637
29,1.495311378920916,0.32882979194630524,0.0,resta,0,Vis,0.17607175790132637
30,1.685344082162862,0.26662680721506016,0.0,resta,0,Vis,0.17607175790132637
31,2.005595928937352,0.17360446707345703,0.0,resta,0,Vis,0.17607175790132637
